fu3Column	fu2Column	Instrument	fu3Core
id	User.code	ALL	ALL
ipaddr	DELETE	ALL	ALL
datestamp	Completed.Timestamp	ALL	ALL
submitdate	Completed	ALL	ALL
startlanguage	Language	ALL	ALL
IdCheckGender	id_check_gender	ALL	ALL
IdCheckDob	id_check_dob	ALL	ALL
TS1	ts_1	ALL	ALL
LifeAmphet	life_amphet	IMGN_ESPAD	1
YearAmphet	year_amphet	IMGN_ESPAD	1
MonthAmphet	month_amphet	IMGN_ESPAD	1
WeekAmphet	week_amphet	IMGN_ESPAD	1
FirstAmphet	first_amphet	IMGN_ESPAD	1
Espad31Amphet	31amphet	IMGN_ESPAD	1
LifeLsd	life_lsd	IMGN_ESPAD	1
YearLsd	year_lsd	IMGN_ESPAD	1
MonthLsd	month_lsd	IMGN_ESPAD	1
WeekLsd	week_lsd	IMGN_ESPAD	1
FirstLsd	first_lsd	IMGN_ESPAD	1
Espad31Lsd	31lsd	IMGN_ESPAD	1
LifeMushroom	life_mushrooms	IMGN_ESPAD	1
YearMushroom	year_mushrooms	IMGN_ESPAD	1
MonthMushroom	month_mushrooms	IMGN_ESPAD	1
WeekMushroom	week_mushrooms	IMGN_ESPAD	1
FirstMushroom	first_mushrooms	IMGN_ESPAD	1
Espad31Mushroom	31mushrooms	IMGN_ESPAD	1
LifeCrack	life_crack	IMGN_ESPAD	1
YearCrack	year_crack	IMGN_ESPAD	1
MonthCrack	month_crack	IMGN_ESPAD	1
WeekCrack	week_crack	IMGN_ESPAD	1
FirstCrack	first_crack	IMGN_ESPAD	1
Espad31Crack	31crack	IMGN_ESPAD	1
LifeCoke	life_coke	IMGN_ESPAD	1
YearCoke	year_coke	IMGN_ESPAD	1
MonthCoke	month_coke	IMGN_ESPAD	1
WeekCoke	week_coke	IMGN_ESPAD	1
FirstCoke	first_coke	IMGN_ESPAD	1
Espad31Coke	31coke	IMGN_ESPAD	1
LifeRelevin	life_relevin	IMGN_ESPAD	1
